id,lang,stage,prompt_type,difficulty,inquiry,reference,context,multimodal_asset_paths
PR-EN-001-fe,en,problem_finding,few_shot,,What can you find in your environment that moves in a circular path around a central point?,"[""What kinds of movements or actions cause something to move in a curved path?"", ""Can you think of any situations where something is constantly changing direction while moving?"", ""What forces might be involved when something moves in a circle or a loop?""]",Classroom with a ceiling fan,[]
PR-EN-002-fe,en,problem_finding,few_shot,,What can you find in your environment that spins around a central point?,"[""What kinds of movements or actions cause something to move in a curved path?"", ""Can you think of any situations where something is constantly changing direction while moving?"", ""What forces might be involved when something moves in a circle or a loop?""]",Bicycle wheel spinning,[]
PR-EN-003-fe,en,problem_finding,few_shot,,What can you find in your environment that moves in a circular path with a center point?,"[""What kinds of movements or actions cause something to move in a curved path?"", ""Can you think of any situations where something is constantly changing direction while moving?"", ""What forces might be involved when something moves in a circle or a loop?""]",Washing machine drum in motion,[]
PR-EN-004-fe,en,problem_finding,few_shot,,What can you find in your environment that moves in a circular path around a central point?,"[""What kinds of movements or actions cause something to move in a curved path?"", ""Can you think of any situations where something is constantly changing direction while moving?"", ""What forces might be involved when something moves in a circle or a loop?""]",Playground carousel rotating,[]
PR-EN-005-fe,en,problem_finding,few_shot,,What can you find in your environment that moves in a circular path around a central point?,"[""What kinds of movements or actions cause something to move in a curved path?"", ""Can you think of any situations where something is constantly changing direction while moving?"", ""What forces might be involved when something moves in a circle or a loop?""]",Playground hamster wheel,[]
PR-EN-006-fe,en,problem_finding,few_shot,,What can you find in your environment that moves in a circular path around a central point?,"[""What kinds of movements or actions cause something to move in a curved path?"", ""Can you think of any situations where something is constantly changing direction while moving?"", ""What forces might be involved when something moves in a circle or a loop?""]",Desk fan on a table,[]
PR-EN-007-fe,en,problem_finding,few_shot,,What can you find in your environment that spins around a central point?,"[""What kinds of movements or actions cause something to move in a curved path?"", ""Can you think of any situations where something is constantly changing direction while moving?"", ""What forces might be involved when something moves in a circle or a loop?""]",Turntable platter spinning,[]
PR-EN-008-fe,en,problem_finding,few_shot,,What can you find in your environment that involves something spinning in a circular motion?,"[""What kinds of movements or actions cause something to move in a curved path?"", ""Can you think of any situations where something is constantly changing direction while moving?"", ""What forces might be involved when something moves in a circle or a loop?""]",Office chair wheel rotating,[]
PR-EN-009-fe,en,problem_exploring,few_shot,,What can you find in the motion of rotating blades that shows a change in direction while speed remains constant?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving at constant speed?"", ""What factors influence the magnitude of centripetal force required to keep an object in circular motion?"", ""How can we use real-world data to verify the relationship between speed, radius, and centripetal acceleration?""]",Rotating fan blades,[]
PR-EN-010-fe,en,problem_exploring,few_shot,,What can you find about the direction of the force acting on the wheel as it spins?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving at constant speed?"", ""What factors influence the magnitude of centripetal force required to keep an object in circular motion?"", ""How can we use real-world data to verify the relationship between speed, radius, and centripetal acceleration?""]",Spinning bicycle wheel,[]
PR-EN-011-fe,en,problem_exploring,few_shot,,What can you find in your environment that demonstrates the relationship between mass and the force required for circular motion?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving at constant speed?"", ""What factors influence the magnitude of centripetal force required to keep an object in circular motion?"", ""How can we use real-world data to verify the relationship between speed, radius, and centripetal acceleration?""]",Washer on a string,[]
PR-EN-012-fe,en,problem_exploring,few_shot,,What can you find in your environment that demonstrates the relationship between rotational speed and the force needed to keep objects moving in a circle?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving at constant speed?"", ""What factors influence the magnitude of centripetal force required to keep an object in circular motion?"", ""How can we use real-world data to verify the relationship between speed, radius, and centripetal acceleration?""]",Turntable,[]
PR-EN-013-fe,en,problem_exploring,few_shot,,What can you find in your environment that demonstrates an object moving in a circular path with a constant speed?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving at constant speed?"", ""What factors influence the magnitude of centripetal force required to keep an object in circular motion?"", ""How can we use real-world data to verify the relationship between speed, radius, and centripetal acceleration?""]",hamster wheel playgroundcarousel playground,[]
PR-EN-014-fe,en,problem_exploring,few_shot,,What can you find in the graph that shows how acceleration changes with radius?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving at constant speed?"", ""What factors influence the magnitude of centripetal force required to keep an object in circular motion?"", ""How can we use real-world data to verify the relationship between speed, radius, and centripetal acceleration?""]",Experiment data: a vs r graph,[]
PR-EN-015-fe,en,problem_exploring,few_shot,,What can you find in the graph that shows how angular speed relates to the radius of circular motion?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving at constant speed?"", ""What factors influence the magnitude of centripetal force required to keep an object in circular motion?"", ""How can we use real-world data to verify the relationship between speed, radius, and centripetal acceleration?""]",Experiment data: w vs r graph,[]
PR-EN-016-fe,en,problem_exploring,few_shot,,What can you find in your environment that involves a measured string length in circular motion?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving at constant speed?"", ""What factors influence the magnitude of centripetal force required to keep an object in circular motion?"", ""How can we use real-world data to verify the relationship between speed, radius, and centripetal acceleration?""]",Measured string length,[]
PR-EN-017-fe,en,problem_exploring,few_shot,,What can you find in the string setup that shows how force changes with motion?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving at constant speed?"", ""What factors influence the magnitude of centripetal force required to keep an object in circular motion?"", ""How can we use real-world data to verify the relationship between speed, radius, and centripetal acceleration?""]",Tension in a string setup,[]
PR-EN-018-fe,en,problem_exploring,few_shot,,What can you find in the sensor data that shows the direction of acceleration during circular motion?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving at constant speed?"", ""What factors influence the magnitude of centripetal force required to keep an object in circular motion?"", ""How can we use real-world data to verify the relationship between speed, radius, and centripetal acceleration?""]",Sensor log with stable period,[]
PR-EN-019-fe,en,problem_generating,few_shot,easy,"Using the graph showing angular velocity over time and the image of the fan, determine the centripetal acceleration of a point on the edge of the fan blade during the steady phase when the angular velocity is approximately 15 rad/s, assuming the radius of the fan is 0.25 m.","[""A car travels at a constant speed of 20 m/s around a circular track with a radius of 50 m. What is the centripetal acceleration of the car?"", ""A child on a merry-go-round is sitting 2.5 m from the center and completes one full rotation every 4 seconds. Calculate the centripetal acceleration experienced by the child."", ""A satellite orbits Earth at a distance of 7000 km from the center of the Earth with a speed of 7500 m/s. What is the centripetal acceleration of the satellite?""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-020-fe,en,problem_generating,few_shot,easy,"Using the graph showing angular velocity over time and the image of the fan, determine the centripetal acceleration of a point on the edge of the fan blade when the angular velocity is 8 rad/s, assuming the radius of the fan is 0.3 m.","[""A car travels at a constant speed of 20 m/s around a circular track with a radius of 50 m. What is the centripetal acceleration of the car?"", ""A child on a merry-go-round is sitting 2.5 m from the center and completes one full rotation every 4 seconds. Calculate the centripetal acceleration experienced by the child."", ""A satellite orbits Earth at a distance of 7000 km from the center of the Earth with a speed of 7500 m/s. What is the centripetal acceleration of the satellite?""]",Difficulty: easy. Use the provided graph (graph_0a99e117.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0a99e117.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
PR-EN-021-fe,en,problem_generating,few_shot,easy,"Using the graph showing angular velocity over time and the image of the fan, determine the centripetal acceleration of a point on the edge of the fan blade when the angular velocity is at its maximum value of 17.5 rad/s, assuming the radius of the fan is 0.25 m.","[""A car travels at a constant speed of 20 m/s around a circular track with a radius of 50 m. What is the centripetal acceleration of the car?"", ""A child on a merry-go-round is sitting 2.5 m from the center and completes one full rotation every 4 seconds. Calculate the centripetal acceleration experienced by the child."", ""A satellite orbits Earth at a distance of 7000 km from the center of the Earth with a speed of 7500 m/s. What is the centripetal acceleration of the satellite?""]",Difficulty: easy. Use the provided graph (graph_0b0749b8.png) and real-world image (fan2.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0b0749b8.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan2.jpg""]"
PR-EN-022-fe,en,problem_generating,few_shot,easy,"Using the graph showing angular velocity over time for a fan and the image of a fan blade, determine the centripetal acceleration of a point on the edge of the fan blade during the steady phase when the angular velocity is 1.4 rad/s, assuming the radius of the fan blade is 0.25 m.","[""A car travels at a constant speed of 20 m/s around a circular track with a radius of 50 m. What is the centripetal acceleration of the car?"", ""A child on a merry-go-round is sitting 2.5 m from the center and completes one full rotation every 4 seconds. Calculate the centripetal acceleration experienced by the child."", ""A satellite orbits Earth at a distance of 7000 km from the center of the Earth with a speed of 7500 m/s. What is the centripetal acceleration of the satellite?""]",Difficulty: easy. Use the provided graph (graph_0c01cd0b.png) and real-world image (fan22.png) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0c01cd0b.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan22.png""]"
PR-EN-023-fe,en,problem_generating,few_shot,easy,"Using the graph showing the angular velocity of a fan over time and the image of a fan with blades of radius 0.15 m, determine the centripetal acceleration of a point on the edge of the fan blade during the steady phase when the angular velocity is approximately 13 rad/s.","[""A car travels at a constant speed of 20 m/s around a circular track with a radius of 50 m. What is the centripetal acceleration of the car?"", ""A child on a merry-go-round is sitting 2.5 m from the center and completes one full rotation every 4 seconds. Calculate the centripetal acceleration experienced by the child."", ""A satellite orbits Earth at a distance of 7000 km from the center of the Earth with a speed of 7500 m/s. What is the centripetal acceleration of the satellite?""]",Difficulty: easy. Use the provided graph (graph_12456302.png) and real-world image (fan2_1770899009.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_12456302.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\qZbjrBpk21gB5dluTsyuQBWVVrJ3\\fan2_1770899009.jpg""]"
