id,lang,stage,prompt_type,bleu1,bleu4,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,geval_overall,stage,prompt_type,bleu1,geval_overall,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
PR-EN-001-ze,en,problem_finding,zero_shot,73.33333333,37.03046834,0.518518519,0.4,0.518518519,0.933436275,0.946527719,0.939936399,4.2,problem_finding,zero_shot,0.733333333,0.84,0.518518519,0.933436275,0.946527719,0.939936399
PR-EN-002-fe,en,problem_finding,few_shot,83.00915603,35.45320602,0.736842105,0.470588235,0.736842105,0.946604431,0.96917218,0.957755327,3.6,problem_finding,few_shot,0.83009156,0.72,0.736842105,0.946604431,0.96917218,0.957755327
PR-EN-003-co,en,problem_finding,cot,69.23076923,12.03500581,0.545454545,0.3,0.545454545,0.936418951,0.956160128,0.946186602,4.6,problem_finding,cot,0.692307692,0.92,0.545454545,0.936418951,0.956160128,0.946186602
PR-EN-004-dr,en,problem_finding,draft_critique_revise,73.33333333,37.03046834,0.518518519,0.4,0.518518519,0.933436275,0.946527719,0.939936399,4.2,problem_finding,draft_critique_revise,0.733333333,0.84,0.518518519,0.933436275,0.946527719,0.939936399
PR-EN-005-ze,en,problem_finding,zero_shot,73.33333333,40.48411919,0.692307692,0.416666667,0.692307692,0.942585826,0.959296763,0.947217584,4.2,problem_finding,zero_shot,0.733333333,0.84,0.692307692,0.942585826,0.959296763,0.947217584
PR-EN-006-fe,en,problem_finding,few_shot,100,100,1,1,1,1,1,1,3.6,problem_finding,few_shot,1,0.72,1,1,1,1
PR-EN-007-co,en,problem_finding,cot,91.66666667,37.34211266,0.608695652,0.476190476,0.608695652,0.92449373,0.937822402,0.931110382,4.2,problem_finding,cot,0.916666667,0.84,0.608695652,0.92449373,0.937822402,0.931110382
PR-EN-008-dr,en,problem_finding,draft_critique_revise,83.33333333,14.32314508,0.608695652,0.285714286,0.52173913,0.94768393,0.945713639,0.943450332,4.2,problem_finding,draft_critique_revise,0.833333333,0.84,0.52173913,0.94768393,0.945713639,0.943450332
PR-EN-009-ze,en,problem_finding,zero_shot,74.8405588,13.54570722,0.5,0.294117647,0.444444444,0.925986171,0.942453563,0.934147298,4.6,problem_finding,zero_shot,0.748405588,0.92,0.444444444,0.925986171,0.942453563,0.934147298
PR-EN-010-fe,en,problem_finding,few_shot,57.14285714,10.00625978,0.470588235,0.25,0.411764706,0.902765989,0.932023644,0.909797847,3.6,problem_finding,few_shot,0.571428571,0.72,0.411764706,0.902765989,0.932023644,0.909797847
PR-EN-011-co,en,problem_finding,cot,74.8405588,13.54570722,0.5,0.294117647,0.444444444,0.920022666,0.940948129,0.930367827,4.6,problem_finding,cot,0.748405588,0.92,0.444444444,0.920022666,0.940948129,0.930367827
PR-EN-012-dr,en,problem_finding,draft_critique_revise,83.33333333,13.54599427,0.56,0.260869565,0.56,0.935293913,0.940700412,0.935657501,4.2,problem_finding,draft_critique_revise,0.833333333,0.84,0.56,0.935293913,0.940700412,0.935657501
PR-EN-013-ze,en,problem_finding,zero_shot,80,29.61516536,0.6,0.357142857,0.533333333,0.933708549,0.934136748,0.932948172,4.2,problem_finding,zero_shot,0.8,0.84,0.533333333,0.933708549,0.934136748,0.932948172
PR-EN-014-fe,en,problem_finding,few_shot,58.41005873,26.61344054,0.482758621,0.37037037,0.482758621,0.925474346,0.900268555,0.912236631,3.6,problem_finding,few_shot,0.584100587,0.72,0.482758621,0.925474346,0.900268555,0.912236631
PR-EN-015-co,en,problem_finding,cot,47.05882353,8.651480732,0.375,0.1875,0.352941176,0.888947546,0.909179926,0.898949981,4.6,problem_finding,cot,0.470588235,0.92,0.352941176,0.888947546,0.909179926,0.898949981
PR-EN-016-dr,en,problem_finding,draft_critique_revise,93.33333333,52.66403878,0.666666667,0.428571429,0.6,0.937144816,0.93652761,0.933073521,4.2,problem_finding,draft_critique_revise,0.933333333,0.84,0.6,0.937144816,0.93652761,0.933073521
PR-EN-017-ze,en,problem_finding,zero_shot,46.66666667,11.4343382,0.37037037,0.16,0.37037037,0.923086107,0.897360861,0.910041749,4.2,problem_finding,zero_shot,0.466666667,0.84,0.37037037,0.923086107,0.897360861,0.910041749
PR-EN-018-fe,en,problem_finding,few_shot,53.84615385,13.44056996,0.4,0.260869565,0.4,0.908715487,0.892097831,0.900329947,3.6,problem_finding,few_shot,0.538461538,0.72,0.4,0.908715487,0.892097831,0.900329947
PR-EN-019-co,en,problem_finding,cot,50,12.35622127,0.384615385,0.25,0.384615385,0.919027209,0.898671031,0.908735096,4.2,problem_finding,cot,0.5,0.84,0.384615385,0.919027209,0.898671031,0.908735096
PR-EN-020-dr,en,problem_finding,draft_critique_revise,50,12.35622127,0.384615385,0.25,0.384615385,0.925261974,0.898928046,0.911904931,3.6,problem_finding,draft_critique_revise,0.5,0.72,0.384615385,0.925261974,0.898928046,0.911904931
PR-EN-021-ze,en,problem_finding,zero_shot,78.57142857,33.64932442,0.666666667,0.48,0.666666667,0.958579183,0.962952375,0.960760772,4.2,problem_finding,zero_shot,0.785714286,0.84,0.666666667,0.958579183,0.962952375,0.960760772
PR-EN-022-fe,en,problem_finding,few_shot,80,52.53819789,0.52173913,0.444444444,0.5,0.949400187,0.93706727,0.943193436,3.6,problem_finding,few_shot,0.8,0.72,0.5,0.949400187,0.93706727,0.943193436
PR-EN-023-co,en,problem_finding,cot,78.57142857,33.64932442,0.740740741,0.56,0.740740741,0.969686925,0.974727988,0.97220099,3.6,problem_finding,cot,0.785714286,0.72,0.740740741,0.969686925,0.974727988,0.97220099
PR-EN-024-dr,en,problem_finding,draft_critique_revise,78.57142857,33.64932442,0.740740741,0.56,0.740740741,0.969686925,0.974727988,0.97220099,3.6,problem_finding,draft_critique_revise,0.785714286,0.72,0.740740741,0.969686925,0.974727988,0.97220099
PR-EN-025-ze,en,problem_finding,zero_shot,36.36363636,8.216107325,0.529411765,0.4375,0.529411765,0.92787236,0.972051859,0.949448407,4.6,problem_finding,zero_shot,0.363636364,0.92,0.529411765,0.92787236,0.972051859,0.949448407
PR-EN-026-fe,en,problem_finding,few_shot,56.25,8.866868825,0.571428571,0.153846154,0.428571429,0.918978333,0.941805899,0.930252075,4.2,problem_finding,few_shot,0.5625,0.84,0.428571429,0.918978333,0.941805899,0.930252075
PR-EN-027-co,en,problem_finding,cot,64.28571429,28.65612242,0.769230769,0.583333333,0.769230769,0.96959269,0.981318414,0.975420296,3.6,problem_finding,cot,0.642857143,0.72,0.769230769,0.96959269,0.981318414,0.975420296
PR-EN-028-dr,en,problem_finding,draft_critique_revise,36.36363636,8.216107325,0.588235294,0.4375,0.588235294,0.93051219,0.975664437,0.95255357,4.6,problem_finding,draft_critique_revise,0.363636364,0.92,0.588235294,0.93051219,0.975664437,0.95255357
PR-EN-029-ze,en,problem_finding,zero_shot,64.28571429,14.56111424,0.461538462,0.25,0.347826087,0.938030124,0.955112338,0.946494162,4.2,problem_finding,zero_shot,0.642857143,0.84,0.347826087,0.938030124,0.955112338,0.946494162
PR-EN-030-fe,en,problem_finding,few_shot,50,11.09466047,0.476190476,0.210526316,0.476190476,0.929778636,0.949576676,0.939573407,4.2,problem_finding,few_shot,0.5,0.84,0.476190476,0.929778636,0.949576676,0.939573407
PR-EN-031-co,en,problem_finding,cot,64.28571429,14.56111424,0.461538462,0.25,0.434782609,0.940030694,0.958591402,0.949220359,3.6,problem_finding,cot,0.642857143,0.72,0.434782609,0.940030694,0.958591402,0.949220359
PR-EN-032-dr,en,problem_finding,draft_critique_revise,64.28571429,14.56111424,0.461538462,0.25,0.434782609,0.940030694,0.958591402,0.949220359,3.6,problem_finding,draft_critique_revise,0.642857143,0.72,0.434782609,0.940030694,0.958591402,0.949220359
PR-EN-033-ze,en,problem_finding,zero_shot,57.14285714,28.59229126,0.514285714,0.363636364,0.514285714,0.932995796,0.953986049,0.943374157,4.6,problem_finding,zero_shot,0.571428571,0.92,0.514285714,0.932995796,0.953986049,0.943374157
PR-EN-034-fe,en,problem_finding,few_shot,61.11111111,21.77147329,0.606060606,0.387096774,0.606060606,0.922415376,0.909965575,0.916148186,4.2,problem_finding,few_shot,0.611111111,0.84,0.606060606,0.922415376,0.909965575,0.916148186
PR-EN-035-co,en,problem_finding,cot,57.14285714,26.58483577,0.482758621,0.296296296,0.482758621,0.92629385,0.899789214,0.910584152,4.2,problem_finding,cot,0.571428571,0.84,0.482758621,0.92629385,0.899789214,0.910584152
PR-EN-036-dr,en,problem_finding,draft_critique_revise,57.14285714,26.58483577,0.482758621,0.296296296,0.482758621,0.92629385,0.899789214,0.910584152,4.2,problem_finding,draft_critique_revise,0.571428571,0.84,0.482758621,0.92629385,0.899789214,0.910584152
PR-EN-037-ze,en,problem_finding,zero_shot,83.33333333,17.03318604,0.666666667,0.421052632,0.666666667,0.947491765,0.962049305,0.954715014,3.6,problem_finding,zero_shot,0.833333333,0.72,0.666666667,0.947491765,0.962049305,0.954715014
PR-EN-038-fe,en,problem_finding,few_shot,81.81818182,56.55095707,0.8,0.666666667,0.8,0.959270775,0.9819327,0.970469475,3.6,problem_finding,few_shot,0.818181818,0.72,0.8,0.959270775,0.9819327,0.970469475
PR-EN-039-co,en,problem_finding,cot,58.82352941,11.50278362,0.461538462,0.25,0.461538462,0.889130175,0.951057494,0.918652058,4.6,problem_finding,cot,0.588235294,0.92,0.461538462,0.889130175,0.951057494,0.918652058
PR-EN-040-dr,en,problem_finding,draft_critique_revise,91.66666667,18.25741858,0.571428571,0.333333333,0.571428571,0.947461605,0.962988913,0.955162168,4.2,problem_finding,draft_critique_revise,0.916666667,0.84,0.571428571,0.947461605,0.962988913,0.955162168
PR-EN-041-ze,en,problem_exploring,zero_shot,61.53846154,24.71244255,0.608695652,0.296296296,0.5,0.942457497,0.943298101,0.940187752,4.6,problem_exploring,zero_shot,0.615384615,0.92,0.5,0.942457497,0.943298101,0.940187752
PR-EN-042-fe,en,problem_exploring,few_shot,38.88888889,3.124577801,0.258064516,0.076923077,0.214285714,0.877783537,0.884142578,0.879878104,4.4,problem_exploring,few_shot,0.388888889,0.88,0.214285714,0.877783537,0.884142578,0.879878104
PR-EN-043-co,en,problem_exploring,cot,41.66666667,4.529376171,0.434782609,0.1,0.363636364,0.916133165,0.923082829,0.917158425,4.6,problem_exploring,cot,0.416666667,0.92,0.363636364,0.916133165,0.923082829,0.917158425
PR-EN-044-dr,en,problem_exploring,draft_critique_revise,45.45454545,5.012578716,0.363636364,0.105263158,0.363636364,0.912782133,0.929293871,0.91870594,4.6,problem_exploring,draft_critique_revise,0.454545455,0.92,0.363636364,0.912782133,0.929293871,0.91870594
PR-EN-045-ze,en,problem_exploring,zero_shot,73.33333333,51.53081624,0.692307692,0.583333333,0.692307692,0.94500947,0.961301088,0.953085661,4.6,problem_exploring,zero_shot,0.733333333,0.92,0.692307692,0.94500947,0.961301088,0.953085661
PR-EN-046-fe,en,problem_exploring,few_shot,45,14.67986914,0.4,0.181818182,0.342857143,0.904068053,0.896755874,0.899580657,4.6,problem_exploring,few_shot,0.45,0.92,0.342857143,0.904068053,0.896755874,0.899580657
