problem_exploring,stage 1,input,information_1,system_q,user_answer_type,user_a,system_feedback,scaffolding_or_next_step
centripetal concept,stage 1,fan,Object name: fan,"Pada kipas angin yang menyala, bagian mana yang bergerak melingkar terhadap pusat putaran?",correct,Baling-baling kipas bergerak melingkar.,Benar. Baling-baling bergerak melingkar mengelilingi pusat putaran. Sekarang lanjut pikirkan titik yang lebih dekat dan lebih jauh dari pusat.,Next step: bandingkan posisi titik dekat pusat dan jauh dari pusat.
centripetal concept,stage 1,fan,Object name: fan,"Pada kipas angin yang menyala, bagian mana yang bergerak melingkar terhadap pusat putaran?",wrong,Angin yang keluar dari kipas bergerak melingkar.,"Coba fokus pada bagian fisik benda yang benar-benar ikut berputar. Apakah udara tetap menempel pada kipas, atau ada bagian keras yang berputar terhadap poros?",Scaffolding: arahkan siswa membedakan aliran udara dan bagian benda yang berotasi.
centripetal concept,stage 1,fan,Object name: fan,"Jika dibandingkan dua titik pada baling-baling, satu dekat pusat dan satu dekat ujung, titik mana yang memiliki jari-jari lintasan lebih besar?",correct,Titik di ujung baling-baling memiliki jari-jari lintasan lebih besar.,Tepat. Titik yang lebih jauh dari pusat memiliki radius lebih besar. Sekarang hubungkan radius itu dengan besar kecepatan linearnya.,Next step: tanyakan hubungan radius dan kecepatan linear saat kecepatan sudut sama.
centripetal concept,stage 1,fan,Object name: fan,"Jika dibandingkan dua titik pada baling-baling, satu dekat pusat dan satu dekat ujung, titik mana yang memiliki jari-jari lintasan lebih besar?",wrong,Keduanya memiliki jari-jari lintasan sama karena berada pada baling-baling yang sama.,Perhatikan bahwa jari-jari diukur dari pusat putaran ke titik yang diamati. Apakah jarak pusat ke ujung baling-baling sama dengan jarak pusat ke bagian yang dekat poros?,Scaffolding: minta siswa membayangkan mengukur jarak dari poros ke dua titik berbeda.
centripetal concept,stage 1,fan,Object name: fan,"Saat kipas berputar dengan kecepatan sudut yang sama, titik di ujung baling-baling atau titik dekat pusat yang memiliki kecepatan linear lebih besar?",correct,Titik di ujung baling-baling memiliki kecepatan linear lebih besar.,"Bagus. Karena v = omega r, titik dengan radius lebih besar memiliki kecepatan linear lebih besar. Lanjutkan ke arah percepatan sentripetalnya.",Next step: tanyakan arah percepatan sentripetal menuju pusat putaran.
centripetal concept,stage 1,fan,Object name: fan,"Saat kipas berputar dengan kecepatan sudut yang sama, titik di ujung baling-baling atau titik dekat pusat yang memiliki kecepatan linear lebih besar?",wrong,Keduanya sama karena berputar pada waktu yang sama.,"Benar bahwa keduanya menyelesaikan putaran dalam waktu yang sama, tetapi coba bedakan antara kecepatan sudut dan kecepatan linear. Dalam satu putaran, titik mana menempuh lintasan lebih panjang?",Scaffolding: arahkan siswa membandingkan keliling lintasan dua titik.
centripetal concept,stage 1,vegetable washer,Object name: vegetable washer,"Pada vegetable washer yang berputar, bagian mana yang paling jelas menunjukkan gerak melingkar?",correct,Dinding atau keranjang pemutar di dalam vegetable washer menunjukkan gerak melingkar.,Benar. Bagian pemutar itu bergerak melingkar terhadap pusat. Sekarang pikirkan letak pusat putarannya.,Next step: identifikasi pusat putaran dan jarak titik ke pusat.
centripetal concept,stage 1,vegetable washer,Object name: vegetable washer,"Pada vegetable washer yang berputar, bagian mana yang paling jelas menunjukkan gerak melingkar?",wrong,Air di dalamnya pasti menjadi pusat gerak melingkar.,"Coba bedakan antara pusat putaran dan benda yang bergerak melingkar. Yang ditanya adalah bagian yang berputar mengikuti mesin, bukan titik pusatnya.",Scaffolding: bantu siswa membedakan pusat lintasan dan objek yang mengelilingi pusat.
centripetal concept,stage 1,vegetable washer,Object name: vegetable washer,"Jika ada sayuran dekat pusat dan sayuran dekat dinding luar saat diputar, mana yang memiliki jari-jari lintasan lebih besar?",correct,Sayuran dekat dinding luar memiliki jari-jari lintasan lebih besar.,"Tepat. Semakin jauh dari pusat, semakin besar radius lintasannya. Sekarang pikirkan pengaruhnya pada kecepatan linear.",Next step: hubungkan posisi lebih luar dengan lintasan yang lebih panjang tiap putaran.
centripetal concept,stage 1,vegetable washer,Object name: vegetable washer,"Jika ada sayuran dekat pusat dan sayuran dekat dinding luar saat diputar, mana yang memiliki jari-jari lintasan lebih besar?",wrong,Sayuran dekat pusat memiliki jari-jari lebih besar karena lebih dekat ke mesin.,Ingat bahwa jari-jari adalah jarak dari pusat ke benda. Apakah benda yang dekat pusat jaraknya lebih besar atau lebih kecil dibanding benda yang berada dekat dinding luar?,Scaffolding: arahkan siswa pada definisi radius sebagai jarak dari pusat.
