id,lang,stage,prompt_type,difficulty,inquiry,reference,context,multimodal_asset_paths
PR-EN-001-ze,en,problem_finding,zero_shot,,Identify rotating items in the classroom that exhibit circular motion.,"[""What everyday items move in a way that requires a force directed towards the center of the circular path?"", ""Where can you observe something changing direction constantly while maintaining a consistent speed?"", ""What are some examples of things that experience a continuous change in velocity, even if their speed remains constant?""]",Classroom with a ceiling fan,[]
PR-EN-002-fe,en,problem_finding,few_shot,,What things can you identify in your surroundings that exhibit circular motion?,"[""What everyday items move in a way that requires a force directed towards the center of the circular path?"", ""Where can you observe something changing direction constantly while maintaining a consistent speed?"", ""What are some examples of things that experience a continuous change in velocity, even if their speed remains constant?""]",Classroom with a ceiling fan,[]
PR-EN-003-co,en,problem_finding,cot,,What things in this room move in a circular path?,"[""What everyday items move in a way that requires a force directed towards the center of the circular path?"", ""Where can you observe something changing direction constantly while maintaining a consistent speed?"", ""What are some examples of things that experience a continuous change in velocity, even if their speed remains constant?""]",Classroom with a ceiling fan,[]
PR-EN-004-dr,en,problem_finding,draft_critique_revise,,What things in this room move in a circular path?,"[""What everyday items move in a way that requires a force directed towards the center of the circular path?"", ""Where can you observe something changing direction constantly while maintaining a consistent speed?"", ""What are some examples of things that experience a continuous change in velocity, even if their speed remains constant?""]",Classroom with a ceiling fan,[]
PR-EN-005-ze,en,problem_exploring,zero_shot,,How does the speed of a rotating fan blade affect the centripetal acceleration experienced by a point on the blade?,"[""How does changing the radius of a circular path affect the centripetal acceleration required to maintain constant speed?"", ""In what ways can we experimentally determine the relationship between centripetal force and centripetal acceleration?"", ""How does the mass of an object moving in a circle influence the centripetal force needed to maintain a constant speed and radius?""]",Rotating fan blades,[]
PR-EN-006-fe,en,problem_exploring,few_shot,,How does changing the speed of the rotating blades affect the forces involved?,"[""How does changing the radius of a circular path affect the centripetal acceleration required to maintain constant speed?"", ""In what ways can we experimentally determine the relationship between centripetal force and centripetal acceleration?"", ""How does the mass of an object moving in a circle influence the centripetal force needed to maintain a constant speed and radius?""]",Rotating fan blades,[]
PR-EN-007-co,en,problem_exploring,cot,,How does changing the speed of a rotating object affect the forces involved?,"[""How does changing the radius of a circular path affect the centripetal acceleration required to maintain constant speed?"", ""In what ways can we experimentally determine the relationship between centripetal force and centripetal acceleration?"", ""How does the mass of an object moving in a circle influence the centripetal force needed to maintain a constant speed and radius?""]",Rotating fan blades,[]
PR-EN-008-dr,en,problem_exploring,draft_critique_revise,,How does changing the radius or speed of a rotating object affect its centripetal acceleration?,"[""How does changing the radius of a circular path affect the centripetal acceleration required to maintain constant speed?"", ""In what ways can we experimentally determine the relationship between centripetal force and centripetal acceleration?"", ""How does the mass of an object moving in a circle influence the centripetal force needed to maintain a constant speed and radius?""]",Rotating fan blades,[]
PR-EN-009-ze,en,problem_generating,zero_shot,easy,"The graph shows the angular velocity of a fan blade over time, and the image shows the radius of the fan blade. At t=15 seconds, what is the centripetal acceleration of a point on the tip of the fan blade?","[""A car is traveling around a circular track with a radius of 50 meters at a constant speed of 15 m/s. What is the centripetal acceleration of the car?"", ""A 0.2 kg ball is attached to a string and swung in a horizontal circle with a radius of 0.5 meters. If the ball's speed is 2 m/s, what is the centripetal force acting on the ball?"", ""An object is moving in a circle with a radius of 3 meters. If its period of rotation is 6 seconds, what is the object's centripetal acceleration?""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-010-fe,en,problem_generating,few_shot,easy,"The fan blade has a radius of 0.25 meters. Using the graph, determine the maximum angular velocity of the fan and calculate the centripetal acceleration at the edge of the fan blade at that maximum angular velocity.","[""A car is traveling around a circular track with a radius of 50 meters at a constant speed of 15 m/s. What is the centripetal acceleration of the car?"", ""A 0.2 kg ball is attached to a string and swung in a horizontal circle with a radius of 0.5 meters. If the ball's speed is 2 m/s, what is the centripetal force acting on the ball?"", ""An object is moving in a circle with a radius of 3 meters. If its period of rotation is 6 seconds, what is the object's centripetal acceleration?""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-011-co,en,problem_generating,cot,easy,"The graph shows the angular velocity of a fan over time. Using the image to estimate the radius of the fan blades, calculate the centripetal acceleration of a point on the tip of the blade at t=20 seconds.","[""A car is traveling around a circular track with a radius of 50 meters at a constant speed of 15 m/s. What is the centripetal acceleration of the car?"", ""A 0.2 kg ball is attached to a string and swung in a horizontal circle with a radius of 0.5 meters. If the ball's speed is 2 m/s, what is the centripetal force acting on the ball?"", ""An object is moving in a circle with a radius of 3 meters. If its period of rotation is 6 seconds, what is the object's centripetal acceleration?""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-012-dr,en,problem_generating,draft_critique_revise,easy,"The graph shows the angular velocity of a fan over time. Using the image to estimate the radius of the fan blades, calculate the centripetal acceleration of a point at the tip of the blade at t = 15 seconds.","[""A car is traveling around a circular track with a radius of 50 meters at a constant speed of 15 m/s. What is the centripetal acceleration of the car?"", ""A 0.2 kg ball is attached to a string and swung in a horizontal circle with a radius of 0.5 meters. If the ball's speed is 2 m/s, what is the centripetal force acting on the ball?"", ""An object is moving in a circle with a radius of 3 meters. If its period of rotation is 6 seconds, what is the object's centripetal acceleration?""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-013-ze,en,problem_generating,zero_shot,intermediate,"The graph shows the angular velocity of a fan blade over time. The fan blade has a radius of 0.15 m. At t = 32 seconds, what is the centripetal acceleration of a point on the tip of the fan blade?","[""A car is traveling around a circular track with a radius of 150 meters. If the car's speed is a constant 25 m/s, what is the centripetal acceleration of the car?"", ""A satellite orbits the Earth at a distance of 400 km above the Earth's surface. The Earth's radius is 6371 km, and the satellite's orbital period is 90 minutes. Calculate the centripetal acceleration of the satellite."", ""A small ball with a mass of 0.2 kg is attached to a string and whirled in a horizontal circle with a radius of 0.8 meters. If the string can withstand a maximum tension of 10 N before breaking, what is the maximum speed the ball can have before the string breaks?""]",Difficulty: intermediate. Use the provided graph (graph_00ff3cf5.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_00ff3cf5.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
PR-EN-014-fe,en,problem_generating,few_shot,intermediate,"The graph shows the angular velocity of a fan over time, and the fan's radius is 0.25 m. Determine the difference in centripetal acceleration of a point on the edge of the fan blade between the times t=5 s and t=32 s.","[""A car is traveling around a circular track with a radius of 150 meters. If the car's speed is a constant 25 m/s, what is the centripetal acceleration of the car?"", ""A satellite orbits the Earth at a distance of 400 km above the Earth's surface. The Earth's radius is 6371 km, and the satellite's orbital period is 90 minutes. Calculate the centripetal acceleration of the satellite."", ""A small ball with a mass of 0.2 kg is attached to a string and whirled in a horizontal circle with a radius of 0.8 meters. If the string can withstand a maximum tension of 10 N before breaking, what is the maximum speed the ball can have before the string breaks?""]",Difficulty: intermediate. Use the provided graph (graph_00ff3cf5.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_00ff3cf5.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
PR-EN-015-co,en,problem_generating,cot,intermediate,"A fan blade has a radius of 0.15 m. Using the angular velocity vs. time graph, determine the maximum centripetal acceleration experienced by a point on the tip of the blade during the time interval shown.","[""A car is traveling around a circular track with a radius of 150 meters. If the car's speed is a constant 25 m/s, what is the centripetal acceleration of the car?"", ""A satellite orbits the Earth at a distance of 400 km above the Earth's surface. The Earth's radius is 6371 km, and the satellite's orbital period is 90 minutes. Calculate the centripetal acceleration of the satellite."", ""A small ball with a mass of 0.2 kg is attached to a string and whirled in a horizontal circle with a radius of 0.8 meters. If the string can withstand a maximum tension of 10 N before breaking, what is the maximum speed the ball can have before the string breaks?""]",Difficulty: intermediate. Use the provided graph (graph_00ff3cf5.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_00ff3cf5.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
