id,lang,stage,prompt_type,inquiry,reference,context
PR-EN-001-fe,en,problem_finding,few_shot,Can you identify an object in your surroundings that spins or rotates?,"[""Can you identify a scenario in your daily life where something is moving in a circular path and constantly changing its direction?"", ""What examples can you find around you that demonstrate the concept of centripetal acceleration?"", ""Can you think of an instance where a thing is moving in a curved path and its velocity is changing even if its speed is constant?""]",Classroom with a ceiling fan
PR-EN-002-fe,en,problem_finding,few_shot,Can you identify something in your surroundings that spins or rotates?,"[""Can you identify a scenario in your daily life where something is moving in a circular path and constantly changing its direction?"", ""What examples can you find around you that demonstrate the concept of centripetal acceleration?"", ""Can you think of an instance where a thing is moving in a curved path and its velocity is changing even if its speed is constant?""]",Bicycle wheel spinning outside
PR-EN-003-fe,en,problem_finding,few_shot,What can you identify in your surroundings that spins or rotates in a similar way to a washing machine drum?,"[""Can you identify a scenario in your daily life where something is moving in a circular path and constantly changing its direction?"", ""What examples can you find around you that demonstrate the concept of centripetal acceleration?"", ""Can you think of an instance where a thing is moving in a curved path and its velocity is changing even if its speed is constant?""]",Washing machine drum in motion
PR-EN-004-fe,en,problem_finding,few_shot,Can you identify something in your surroundings that spins or rotates?,"[""Can you identify a scenario in your daily life where something is moving in a circular path and constantly changing its direction?"", ""What examples can you find around you that demonstrate the concept of centripetal acceleration?"", ""Can you think of an instance where a thing is moving in a curved path and its velocity is changing even if its speed is constant?""]",Playground carousel rotating
PR-EN-005-fe,en,problem_finding,few_shot,Can you identify an object in your surroundings that spins or rotates?,"[""Can you identify a scenario in your daily life where something is moving in a circular path and constantly changing its direction?"", ""What examples can you find around you that demonstrate the concept of centripetal acceleration?"", ""Can you think of an instance where a thing is moving in a curved path and its velocity is changing even if its speed is constant?""]",Desk fan on a table
PR-EN-006-fe,en,problem_exploring,few_shot,What can you observe about the speed and direction of the fan blades as they rotate?,"[""What factors influence the centripetal acceleration of an object moving in a circular path?"", ""How does the speed of an object affect its centripetal acceleration when moving in a circular path?"", ""How does the radius of the circular path affect the centripetal acceleration of an object?""]",Rotating fan blades
PR-EN-007-fe,en,problem_exploring,few_shot,What can you observe about the relationship between the speed of rotation and the force required to maintain the spin?,"[""What factors influence the centripetal acceleration of an object moving in a circular path?"", ""How does the speed of an object affect its centripetal acceleration when moving in a circular path?"", ""How does the radius of the circular path affect the centripetal acceleration of an object?""]",Spinning bicycle wheel
PR-EN-008-fe,en,problem_exploring,few_shot,What can you observe about the motion of the washer when you change the speed of its rotation?,"[""What factors influence the centripetal acceleration of an object moving in a circular path?"", ""How does the speed of an object affect its centripetal acceleration when moving in a circular path?"", ""How does the radius of the circular path affect the centripetal acceleration of an object?""]",Washer on a string
PR-EN-009-fe,en,problem_exploring,few_shot,What can you observe about the motion of an object placed at different points on the turntable?,"[""What factors influence the centripetal acceleration of an object moving in a circular path?"", ""How does the speed of an object affect its centripetal acceleration when moving in a circular path?"", ""How does the radius of the circular path affect the centripetal acceleration of an object?""]",Turntable
PR-EN-010-fe,en,problem_exploring,few_shot,What can you observe about the toy's motion when you analyze the relationship between its speed and the required force?,"[""What factors influence the centripetal acceleration of an object moving in a circular path?"", ""How does the speed of an object affect its centripetal acceleration when moving in a circular path?"", ""How does the radius of the circular path affect the centripetal acceleration of an object?""]",Rotating toy
