id,lang,stage,prompt_type,difficulty,inquiry,reference,context,multimodal_asset_paths
PR-EN-001-ze,en,problem_finding,zero_shot,,What items in your environment can you find that demonstrate circular motion?,"[""What are some examples in your environment where something moves in a circular path, and how can you describe the forces acting on it?"", ""In what situations can you observe something changing direction while maintaining a constant speed, and what factors contribute to this change?"", ""How can you identify instances where something experiences acceleration while moving in a curved trajectory, and what might be the causes of this phenomenon?""]",Classroom with a ceiling fan,[]
PR-EN-002-fe,en,problem_finding,few_shot,,What can you find in your environment that exhibits circular motion?,"[""What are some examples in your environment where something moves in a circular path, and how can you describe the forces acting on it?"", ""In what situations can you observe something changing direction while maintaining a constant speed, and what factors contribute to this change?"", ""How can you identify instances where something experiences acceleration while moving in a curved trajectory, and what might be the causes of this phenomenon?""]",Classroom with a ceiling fan,[]
PR-EN-003-co,en,problem_finding,cot,,What items in your environment can you find that demonstrate circular motion?,"[""What are some examples in your environment where something moves in a circular path, and how can you describe the forces acting on it?"", ""In what situations can you observe something changing direction while maintaining a constant speed, and what factors contribute to this change?"", ""How can you identify instances where something experiences acceleration while moving in a curved trajectory, and what might be the causes of this phenomenon?""]",Classroom with a ceiling fan,[]
PR-EN-004-dr,en,problem_finding,draft_critique_revise,,What items can you find in your environment that demonstrate circular motion?,"[""What are some examples in your environment where something moves in a circular path, and how can you describe the forces acting on it?"", ""In what situations can you observe something changing direction while maintaining a constant speed, and what factors contribute to this change?"", ""How can you identify instances where something experiences acceleration while moving in a curved trajectory, and what might be the causes of this phenomenon?""]",Classroom with a ceiling fan,[]
PR-EN-005-ze,en,problem_exploring,zero_shot,,How does the speed of a rotating fan blade affect the centripetal acceleration experienced by the blades?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What is the relationship between the speed of an object in circular motion and the centripetal force required to maintain that motion?"", ""How can we use real-world examples, such as cars turning on a road, to analyze the factors that influence centripetal acceleration?""]",Rotating fan blades,[]
PR-EN-006-fe,en,problem_exploring,few_shot,,What can you find in your environment that demonstrates the principles of circular motion?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What is the relationship between the speed of an object in circular motion and the centripetal force required to maintain that motion?"", ""How can we use real-world examples, such as cars turning on a road, to analyze the factors that influence centripetal acceleration?""]",Rotating fan blades,[]
PR-EN-007-co,en,problem_exploring,cot,,What everyday activity can you identify that demonstrates the principles of centripetal acceleration?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What is the relationship between the speed of an object in circular motion and the centripetal force required to maintain that motion?"", ""How can we use real-world examples, such as cars turning on a road, to analyze the factors that influence centripetal acceleration?""]",Rotating fan blades,[]
PR-EN-008-dr,en,problem_exploring,draft_critique_revise,,What everyday activity can you identify that demonstrates centripetal acceleration?,"[""How does the radius of a circular path affect the centripetal acceleration of an object moving along that path?"", ""What is the relationship between the speed of an object in circular motion and the centripetal force required to maintain that motion?"", ""How can we use real-world examples, such as cars turning on a road, to analyze the factors that influence centripetal acceleration?""]",Rotating fan blades,[]
PR-EN-009-ze,en,problem_generating,zero_shot,easy,"A fan is operating with a varying angular velocity as shown in the provided graph, where the maximum angular velocity reaches 17.5 rad/s. If the radius of the fan blades is 0.3 meters, calculate the centripetal acceleration at the moment when the angular velocity is at its peak. Assume that the centripetal acceleration (a) can be calculated using the formula a = ω²r, where ω is the angular velocity and r is the radius.","[""A car is moving in a circular path with a radius of 50 meters at a constant speed of 20 meters per second. What is the centripetal acceleration of the car?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 15 meters per second. Calculate the centripetal acceleration experienced by the cyclist."", ""A satellite orbits the Earth in a circular path with a radius of 7000 kilometers and travels at a speed of 7.5 kilometers per second. What is the centripetal acceleration of the satellite?""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-010-fe,en,problem_generating,few_shot,easy,"A fan with a radius of 0.25 m has an angular velocity that varies over time, reaching a maximum of 15 rad/s as shown in the graph. Calculate the centripetal acceleration of a point on the edge of the fan when the angular velocity is at its maximum.","[""A car is moving in a circular path with a radius of 50 meters at a constant speed of 20 meters per second. What is the centripetal acceleration of the car?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 15 meters per second. Calculate the centripetal acceleration experienced by the cyclist."", ""A satellite orbits the Earth in a circular path with a radius of 7000 kilometers and travels at a speed of 7.5 kilometers per second. What is the centripetal acceleration of the satellite?""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-011-co,en,problem_generating,cot,easy,"A fan is rotating with varying angular velocity as shown in the graph, reaching a maximum of 17.5 rad/s. If the radius of the fan blades is 0.3 meters, calculate the centripetal acceleration when the angular velocity is at its maximum. What is the centripetal acceleration at that moment?","[""A car is moving in a circular path with a radius of 50 meters at a constant speed of 20 meters per second. What is the centripetal acceleration of the car?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 15 meters per second. Calculate the centripetal acceleration experienced by the cyclist."", ""A satellite orbits the Earth in a circular path with a radius of 7000 kilometers and travels at a speed of 7.5 kilometers per second. What is the centripetal acceleration of the satellite?""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-012-dr,en,problem_generating,draft_critique_revise,easy,"A fan is operating, and its angular velocity (ω) varies over time as shown in the provided graph. If the fan's blades are at a radius (r) of 0.3 meters from the center and the maximum angular velocity reaches 18 rad/s during the increase phase, calculate the centripetal acceleration (a) experienced by a point on the edge of the blade at that maximum angular velocity.","[""A car is moving in a circular path with a radius of 50 meters at a constant speed of 20 meters per second. What is the centripetal acceleration of the car?"", ""A cyclist is riding around a circular track with a radius of 30 meters at a speed of 15 meters per second. Calculate the centripetal acceleration experienced by the cyclist."", ""A satellite orbits the Earth in a circular path with a radius of 7000 kilometers and travels at a speed of 7.5 kilometers per second. What is the centripetal acceleration of the satellite?""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-013-ze,en,problem_generating,zero_shot,intermediate,"A fan is rotating with an angular velocity that varies over time, as shown in the provided graph. If the fan has a radius of 0.3 meters and reaches a maximum angular velocity of 0.7 rad/s during the steady phase, calculate the centripetal acceleration at that maximum angular velocity. Assume the acceleration is directed towards the center of the fan's rotation.","[""A car is traveling around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A roller coaster car moves along a circular loop with a radius of 15 meters. If the speed of the car at the bottom of the loop is 25 meters per second, what is the centripetal acceleration at that point?"", ""A satellite orbits Earth in a circular path with a radius of 7000 kilometers and a speed of 7.5 kilometers per second. Determine the centripetal acceleration of the satellite in its orbit.""]",Difficulty: intermediate. Use the provided graph (graph_00ff3cf5.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_00ff3cf5.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
PR-EN-014-fe,en,problem_generating,few_shot,intermediate,"A fan with a radius of 0.25 m operates at an angular velocity that varies as shown in the provided graph. During the steady phase of operation, the angular velocity is approximately 0.5 rad/s. Calculate the centripetal acceleration of a point on the edge of the fan blade during this phase.","[""A car is traveling around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A roller coaster car moves along a circular loop with a radius of 15 meters. If the speed of the car at the bottom of the loop is 25 meters per second, what is the centripetal acceleration at that point?"", ""A satellite orbits Earth in a circular path with a radius of 7000 kilometers and a speed of 7.5 kilometers per second. Determine the centripetal acceleration of the satellite in its orbit.""]",Difficulty: intermediate. Use the provided graph (graph_00ff3cf5.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_00ff3cf5.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
PR-EN-015-co,en,problem_generating,cot,intermediate,"A fan is rotating with a varying angular velocity as shown in the graph, where the maximum angular velocity reaches approximately 0.7 rad/s during the steady phase. If the radius of the fan blades is 0.3 meters, calculate the centripetal acceleration of a point on the edge of the blades when the fan is operating at its maximum angular velocity.","[""A car is traveling around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A roller coaster car moves along a circular loop with a radius of 15 meters. If the speed of the car at the bottom of the loop is 25 meters per second, what is the centripetal acceleration at that point?"", ""A satellite orbits Earth in a circular path with a radius of 7000 kilometers and a speed of 7.5 kilometers per second. Determine the centripetal acceleration of the satellite in its orbit.""]",Difficulty: intermediate. Use the provided graph (graph_00ff3cf5.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_00ff3cf5.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
PR-EN-016-dr,en,problem_generating,draft_critique_revise,intermediate,"A fan operates with an angular velocity that varies over time, as shown in the provided graph. During the steady phase of operation, the fan reaches an angular velocity of approximately 0.5 rad/s. If the radius of the fan blades is 0.3 meters, calculate the centripetal acceleration experienced by a point on the edge of the fan blades during this steady phase.","[""A car is traveling around a circular track with a radius of 50 meters at a constant speed of 20 meters per second. Calculate the centripetal acceleration of the car."", ""A roller coaster car moves along a circular loop with a radius of 15 meters. If the speed of the car at the bottom of the loop is 25 meters per second, what is the centripetal acceleration at that point?"", ""A satellite orbits Earth in a circular path with a radius of 7000 kilometers and a speed of 7.5 kilometers per second. Determine the centripetal acceleration of the satellite in its orbit.""]",Difficulty: intermediate. Use the provided graph (graph_00ff3cf5.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\intermediate_graph\\graph_00ff3cf5.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
PR-EN-017-ze,en,problem_generating,zero_shot,advanced,"A fan with blades rotating at varying angular velocities is shown in the image. Based on the graph, during the first 10 seconds of Experiment 1, the angular velocity increases from 1 rad/s to 3 rad/s, while in Experiment 2, it remains relatively steady at around 2 rad/s for the same duration. If the radius of the fan blades is 0.5 meters, calculate the centripetal acceleration of a blade at the maximum angular velocity during Experiment 1.","[""A car is traveling around a circular track with a radius of 50 meters at a constant speed of 20 m/s. Calculate the centripetal acceleration of the car. What would be the acceleration if the speed increased to 30 m/s?"", ""A satellite orbits Earth at a height of 300 km above the surface. Given that the radius of Earth is approximately 6371 km, calculate the centripetal acceleration of the satellite. How does this compare to the acceleration due to gravity at that height?"", ""A roller coaster car moves along a loop-the-loop with a radius of 10 meters. If the car has a speed of 15 m/s at the top of the loop, calculate the centripetal acceleration at that point. What is the minimum speed required at the top of the loop to ensure that the car does not fall off?""]",Difficulty: advanced. Use the provided graph (graph_00b1b290.png) and real-world image (fan2.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\advance_graph\\graph_00b1b290.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan2.jpg""]"
PR-EN-018-fe,en,problem_generating,few_shot,advanced,"A fan with blades of radius 0.25 m operates at varying angular velocities as shown in the graph, reaching a maximum of 3 rad/s during Experiment 2. Calculate the centripetal acceleration of a point on the tip of the blade when the angular velocity is at its maximum.","[""A car is traveling around a circular track with a radius of 50 meters at a constant speed of 20 m/s. Calculate the centripetal acceleration of the car. What would be the acceleration if the speed increased to 30 m/s?"", ""A satellite orbits Earth at a height of 300 km above the surface. Given that the radius of Earth is approximately 6371 km, calculate the centripetal acceleration of the satellite. How does this compare to the acceleration due to gravity at that height?"", ""A roller coaster car moves along a loop-the-loop with a radius of 10 meters. If the car has a speed of 15 m/s at the top of the loop, calculate the centripetal acceleration at that point. What is the minimum speed required at the top of the loop to ensure that the car does not fall off?""]",Difficulty: advanced. Use the provided graph (graph_00b1b290.png) and real-world image (fan2.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\advance_graph\\graph_00b1b290.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan2.jpg""]"
