id,item_group_id,lang,stage,prompt_type,knowledge_mode,difficulty,inquiry,reference,context,multimodal_asset_paths
PR-EN-001-fe-base,PR-EN-001-fe,en,problem_finding,few_shot,none,,What can you find in your environment that demonstrates circular motion?,"[""What are some examples of things in your environment that move in a circular path and experience a force directed towards the center?"", ""Can you identify items around you that exhibit a change in direction while maintaining a constant speed?"", ""How can you find examples of motion where something is constantly changing direction due to a central force?""]",Classroom with a ceiling fan,[]
PR-EN-001-fe-kg,PR-EN-001-fe,en,problem_finding,few_shot,kg,,What items in your classroom can you find that demonstrate circular motion?,"[""What are some examples of things in your environment that move in a circular path and experience a force directed towards the center?"", ""Can you identify items around you that exhibit a change in direction while maintaining a constant speed?"", ""How can you find examples of motion where something is constantly changing direction due to a central force?""]",Classroom with a ceiling fan,[]
PR-EN-002-fe-base,PR-EN-002-fe,en,problem_finding,few_shot,none,,What can you find in your surroundings that demonstrates circular motion?,"[""What are some examples of things in your environment that move in a circular path and experience a force directed towards the center?"", ""Can you identify items around you that exhibit a change in direction while maintaining a constant speed?"", ""How can you find examples of motion where something is constantly changing direction due to a central force?""]",Bicycle wheel spinning,[]
PR-EN-002-fe-kg,PR-EN-002-fe,en,problem_finding,few_shot,kg,,What can you find in your surroundings that demonstrates circular motion?,"[""What are some examples of things in your environment that move in a circular path and experience a force directed towards the center?"", ""Can you identify items around you that exhibit a change in direction while maintaining a constant speed?"", ""How can you find examples of motion where something is constantly changing direction due to a central force?""]",Bicycle wheel spinning,[]
PR-EN-003-fe-base,PR-EN-003-fe,en,problem_finding,few_shot,none,,What can you find in your surroundings that moves in a circular path?,"[""What are some examples of things in your environment that move in a circular path and experience a force directed towards the center?"", ""Can you identify items around you that exhibit a change in direction while maintaining a constant speed?"", ""How can you find examples of motion where something is constantly changing direction due to a central force?""]",Washing machine drum in motion,[]
PR-EN-003-fe-kg,PR-EN-003-fe,en,problem_finding,few_shot,kg,,What items in your environment demonstrate circular motion?,"[""What are some examples of things in your environment that move in a circular path and experience a force directed towards the center?"", ""Can you identify items around you that exhibit a change in direction while maintaining a constant speed?"", ""How can you find examples of motion where something is constantly changing direction due to a central force?""]",Washing machine drum in motion,[]
PR-EN-004-fe-base,PR-EN-004-fe,en,problem_finding,few_shot,none,,What can you find in your surroundings that moves in a circular path?,"[""What are some examples of things in your environment that move in a circular path and experience a force directed towards the center?"", ""Can you identify items around you that exhibit a change in direction while maintaining a constant speed?"", ""How can you find examples of motion where something is constantly changing direction due to a central force?""]",Playground carousel rotating,[]
PR-EN-004-fe-kg,PR-EN-004-fe,en,problem_finding,few_shot,kg,,What can you find in your surroundings that moves in a circular path?,"[""What are some examples of things in your environment that move in a circular path and experience a force directed towards the center?"", ""Can you identify items around you that exhibit a change in direction while maintaining a constant speed?"", ""How can you find examples of motion where something is constantly changing direction due to a central force?""]",Playground carousel rotating,[]
PR-EN-005-fe-base,PR-EN-005-fe,en,problem_finding,few_shot,none,,What items in your surroundings move in a circular path?,"[""What are some examples of things in your environment that move in a circular path and experience a force directed towards the center?"", ""Can you identify items around you that exhibit a change in direction while maintaining a constant speed?"", ""How can you find examples of motion where something is constantly changing direction due to a central force?""]",Playground hamster wheel,[]
PR-EN-005-fe-kg,PR-EN-005-fe,en,problem_finding,few_shot,kg,,What can you find in your surroundings that demonstrates circular motion?,"[""What are some examples of things in your environment that move in a circular path and experience a force directed towards the center?"", ""Can you identify items around you that exhibit a change in direction while maintaining a constant speed?"", ""How can you find examples of motion where something is constantly changing direction due to a central force?""]",Playground hamster wheel,[]
