id,lang,stage,prompt_type,inquiry,reference,context
PR-EN-001-ze,en,problem_finding,zero_shot,Can you identify an object in your surroundings that is moving in a circular path?,"[""What objects around you might be demonstrating centripetal acceleration?"", ""Can you identify any activities that involve centripetal acceleration?"", ""What items in your environment might be moving in a circular path?"", ""Can you find something that spins or rotates?"", ""What things around you might change direction but maintain a constant speed?""]",Classroom with a ceiling fan
PR-EN-002-fe,en,problem_finding,few_shot,Can you identify something in your surroundings that spins or rotates?,"[""What objects around you might be demonstrating centripetal acceleration?"", ""Can you identify any activities that involve centripetal acceleration?"", ""What items in your environment might be moving in a circular path?"", ""Can you find something that spins or rotates?"", ""What things around you might change direction but maintain a constant speed?""]",Classroom with a ceiling fan
PR-EN-003-co,en,problem_finding,cot,Can you identify an object in your surroundings that might exhibit centripetal acceleration?,"[""What objects around you might be demonstrating centripetal acceleration?"", ""Can you identify any activities that involve centripetal acceleration?"", ""What items in your environment might be moving in a circular path?"", ""Can you find something that spins or rotates?"", ""What things around you might change direction but maintain a constant speed?""]",Classroom with a ceiling fan
PR-EN-004-dr,en,problem_finding,draft_critique_revise,Can you identify an object in your surroundings that is moving in a circular path?,"[""What objects around you might be demonstrating centripetal acceleration?"", ""Can you identify any activities that involve centripetal acceleration?"", ""What items in your environment might be moving in a circular path?"", ""Can you find something that spins or rotates?"", ""What things around you might change direction but maintain a constant speed?""]",Classroom with a ceiling fan
PR-EN-005-ze,en,problem_finding,zero_shot,Can you identify an item in your surroundings that is moving in a circular path?,"[""What are some examples of objects or activities that involve a circular motion?"", ""Can you identify something in your surroundings that spins or rotates?"", ""What things around you can demonstrate the principle of centripetal acceleration?"", ""Can you find an object that moves in a circular path?"", ""What everyday activities can you think of that might involve centripetal acceleration?""]",Bicycle wheel spinning outside
PR-EN-006-fe,en,problem_finding,few_shot,Can you identify something in your surroundings that spins or rotates?,"[""What are some examples of objects or activities that involve a circular motion?"", ""Can you identify something in your surroundings that spins or rotates?"", ""What things around you can demonstrate the principle of centripetal acceleration?"", ""Can you find an object that moves in a circular path?"", ""What everyday activities can you think of that might involve centripetal acceleration?""]",Bicycle wheel spinning outside
PR-EN-007-co,en,problem_finding,cot,Can you identify an object in your surroundings that exhibits centripetal acceleration?,"[""What are some examples of objects or activities that involve a circular motion?"", ""Can you identify something in your surroundings that spins or rotates?"", ""What things around you can demonstrate the principle of centripetal acceleration?"", ""Can you find an object that moves in a circular path?"", ""What everyday activities can you think of that might involve centripetal acceleration?""]",Bicycle wheel spinning outside
PR-EN-008-dr,en,problem_finding,draft_critique_revise,Can you identify an object in your environment that exhibits circular motion?,"[""What are some examples of objects or activities that involve a circular motion?"", ""Can you identify something in your surroundings that spins or rotates?"", ""What things around you can demonstrate the principle of centripetal acceleration?"", ""Can you find an object that moves in a circular path?"", ""What everyday activities can you think of that might involve centripetal acceleration?""]",Bicycle wheel spinning outside
PR-EN-009-ze,en,problem_finding,zero_shot,Can you identify an object in your surroundings that demonstrates centripetal acceleration when in motion?,"[""Can you identify a scenario where an object moves in a circular path?"", ""What examples can you find around you that demonstrate an object moving in a circular path?"", ""Can you think of a daily activity that involves an object moving in a circular path?"", ""What objects around you can demonstrate the principle of centripetal acceleration?"", ""Can you find an example in your surroundings where an object's direction is constantly changing while it's in motion?""]",Washing machine drum in motion
PR-EN-010-fe,en,problem_finding,few_shot,Can you identify an object in your surroundings that spins or rotates in a similar way to a washing machine drum?,"[""Can you identify a scenario where an object moves in a circular path?"", ""What examples can you find around you that demonstrate an object moving in a circular path?"", ""Can you think of a daily activity that involves an object moving in a circular path?"", ""What objects around you can demonstrate the principle of centripetal acceleration?"", ""Can you find an example in your surroundings where an object's direction is constantly changing while it's in motion?""]",Washing machine drum in motion
PR-EN-011-co,en,problem_finding,cot,Can you identify an object in your surroundings that exhibits centripetal acceleration when in motion?,"[""Can you identify a scenario where an object moves in a circular path?"", ""What examples can you find around you that demonstrate an object moving in a circular path?"", ""Can you think of a daily activity that involves an object moving in a circular path?"", ""What objects around you can demonstrate the principle of centripetal acceleration?"", ""Can you find an example in your surroundings where an object's direction is constantly changing while it's in motion?""]",Washing machine drum in motion
PR-EN-012-dr,en,problem_finding,draft_critique_revise,Can you identify an object in your environment that exhibits circular motion?,"[""Can you identify a scenario where an object moves in a circular path?"", ""What examples can you find around you that demonstrate an object moving in a circular path?"", ""Can you think of a daily activity that involves an object moving in a circular path?"", ""What objects around you can demonstrate the principle of centripetal acceleration?"", ""Can you find an example in your surroundings where an object's direction is constantly changing while it's in motion?""]",Washing machine drum in motion
PR-EN-013-ze,en,problem_finding,zero_shot,Can you identify an object in your environment that is rotating in a circular path?,"[""Can you identify any movements in your surroundings that involve a change in direction but constant speed?"", ""What activities can you think of that involve an object moving in a circular path?"", ""Can you find an example of an object moving in a circular path with a constant speed?"", ""What examples can you find around you that demonstrate an object moving in a circular path?"", ""Can you think of any real-world examples where an object's direction changes while its speed remains constant?""]",Playground carousel rotating
