id,lang,stage,prompt_type,difficulty,inquiry,reference,context,multimodal_asset_paths
PR-EN-001-fe,en,problem_finding,few_shot,,What can you find in your surroundings that moves in a circular path?,"[""What are some common examples of something moving in a circular path with acceleration directed toward the center?"", ""Where can you observe something that has an acceleration toward the center of its circular motion?"", ""What are some things you see daily that move in a circular path and experience an acceleration toward the center?""]",Classroom with a ceiling fan,[]
PR-EN-002-fe,en,problem_finding,few_shot,,What can you find around you that moves in a circular path?,"[""What are some common examples of something moving in a circular path with acceleration directed toward the center?"", ""Where can you observe something that has an acceleration toward the center of its circular motion?"", ""What are some things you see daily that move in a circular path and experience an acceleration toward the center?""]",Bicycle wheel spinning,[]
PR-EN-003-fe,en,problem_finding,few_shot,,What can you find in your surroundings that moves in a circular path?,"[""What are some common examples of something moving in a circular path with acceleration directed toward the center?"", ""Where can you observe something that has an acceleration toward the center of its circular motion?"", ""What are some things you see daily that move in a circular path and experience an acceleration toward the center?""]",Washing machine drum in motion,[]
PR-EN-004-fe,en,problem_finding,few_shot,,What can you find in your surroundings that moves in a circular path?,"[""What are some common examples of something moving in a circular path with acceleration directed toward the center?"", ""Where can you observe something that has an acceleration toward the center of its circular motion?"", ""What are some things you see daily that move in a circular path and experience an acceleration toward the center?""]",Playground carousel rotating,[]
PR-EN-005-fe,en,problem_finding,few_shot,,What can you find in your surroundings that moves in a circular path?,"[""What are some common examples of something moving in a circular path with acceleration directed toward the center?"", ""Where can you observe something that has an acceleration toward the center of its circular motion?"", ""What are some things you see daily that move in a circular path and experience an acceleration toward the center?""]",Playground hamster wheel,[]
PR-EN-006-fe,en,problem_exploring,few_shot,,What happens to the motion of rotating fan blades when you analyze the relationship between rotational speed and centripetal force?,"[""How can you design an experiment to investigate the relationship between centripetal acceleration and the radius of the circular path?"", ""What experimental method would allow you to determine how tangential speed and radius each affect centripetal acceleration?"", ""How can real-world data from circular motion be analyzed to identify the key variables influencing centripetal acceleration?""]",Rotating fan blades,[]
PR-EN-007-fe,en,problem_exploring,few_shot,,What happens to the centripetal acceleration of a spinning bicycle wheel when its rotational speed increases?,"[""How can you design an experiment to investigate the relationship between centripetal acceleration and the radius of the circular path?"", ""What experimental method would allow you to determine how tangential speed and radius each affect centripetal acceleration?"", ""How can real-world data from circular motion be analyzed to identify the key variables influencing centripetal acceleration?""]",Spinning bicycle wheel,[]
PR-EN-008-fe,en,problem_exploring,few_shot,,What happens to the washer's motion when you analyze the relationship between rotational speed and the tension in the string?,"[""How can you design an experiment to investigate the relationship between centripetal acceleration and the radius of the circular path?"", ""What experimental method would allow you to determine how tangential speed and radius each affect centripetal acceleration?"", ""How can real-world data from circular motion be analyzed to identify the key variables influencing centripetal acceleration?""]",Washer on a string,[]
PR-EN-009-fe,en,problem_exploring,few_shot,,What direction is the centripetal acceleration of an object on a spinning turntable?,"[""How can you design an experiment to investigate the relationship between centripetal acceleration and the radius of the circular path?"", ""What experimental method would allow you to determine how tangential speed and radius each affect centripetal acceleration?"", ""How can real-world data from circular motion be analyzed to identify the key variables influencing centripetal acceleration?""]",Turntable,[]
PR-EN-010-fe,en,problem_exploring,few_shot,,What direction is the acceleration of an object moving in a circle on a playground carousel?,"[""How can you design an experiment to investigate the relationship between centripetal acceleration and the radius of the circular path?"", ""What experimental method would allow you to determine how tangential speed and radius each affect centripetal acceleration?"", ""How can real-world data from circular motion be analyzed to identify the key variables influencing centripetal acceleration?""]",hamster wheel playgroundcarousel playground,[]
PR-EN-011-fe,en,problem_generating,few_shot,easy,A fan blade with radius 0.25 m (as shown in the image) operates at a steady angular velocity of 15 rad/s during the yellow phase of the graph. Calculate the centripetal acceleration at the blade tip.,"[""A car travels at a constant speed of 20 m/s around a flat circular curve with a radius of 50 m. Calculate the centripetal acceleration of the car."", ""A child on a merry-go-round moves in a circle with a radius of 2.0 m. If the merry-go-round completes one full revolution every 4.0 seconds, determine the centripetal acceleration experienced by the child."", ""A bicycle moves at a steady speed of 5.0 m/s along a circular path with a radius of 10 m. What is the magnitude of the bicycle's centripetal acceleration?""]",Difficulty: easy. Use the provided graph (graph_01dd480f.png) and real-world image (fan10.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_01dd480f.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan10.jpg""]"
PR-EN-012-fe,en,problem_generating,few_shot,easy,A fan blade with radius 0.15 m (from the image) has an angular velocity of 10 rad/s at t = 10 s (from the graph). Calculate the centripetal acceleration at this time.,"[""A car travels at a constant speed of 20 m/s around a flat circular curve with a radius of 50 m. Calculate the centripetal acceleration of the car."", ""A child on a merry-go-round moves in a circle with a radius of 2.0 m. If the merry-go-round completes one full revolution every 4.0 seconds, determine the centripetal acceleration experienced by the child."", ""A bicycle moves at a steady speed of 5.0 m/s along a circular path with a radius of 10 m. What is the magnitude of the bicycle's centripetal acceleration?""]",Difficulty: easy. Use the provided graph (graph_0a99e117.png) and real-world image (fan11.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0a99e117.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan11.jpg""]"
PR-EN-013-fe,en,problem_generating,few_shot,easy,A fan blade with radius 0.15 m (from the image) rotates at an angular velocity of 10 rad/s during the steady phase shown in the graph. Calculate the centripetal acceleration.,"[""A car travels at a constant speed of 20 m/s around a flat circular curve with a radius of 50 m. Calculate the centripetal acceleration of the car."", ""A child on a merry-go-round moves in a circle with a radius of 2.0 m. If the merry-go-round completes one full revolution every 4.0 seconds, determine the centripetal acceleration experienced by the child."", ""A bicycle moves at a steady speed of 5.0 m/s along a circular path with a radius of 10 m. What is the magnitude of the bicycle's centripetal acceleration?""]",Difficulty: easy. Use the provided graph (graph_0b0749b8.png) and real-world image (fan2.jpg) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0b0749b8.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan2.jpg""]"
PR-EN-014-fe,en,problem_generating,few_shot,easy,"The fan in the provided image has a blade radius of 0.15 m. During the steady phase (yellow region) of the angular velocity graph, the fan operates at an angular velocity of 1.5 rad/s. Calculate the centripetal acceleration at the tip of the blade.","[""A car travels at a constant speed of 20 m/s around a flat circular curve with a radius of 50 m. Calculate the centripetal acceleration of the car."", ""A child on a merry-go-round moves in a circle with a radius of 2.0 m. If the merry-go-round completes one full revolution every 4.0 seconds, determine the centripetal acceleration experienced by the child."", ""A bicycle moves at a steady speed of 5.0 m/s along a circular path with a radius of 10 m. What is the magnitude of the bicycle's centripetal acceleration?""]",Difficulty: easy. Use the provided graph (graph_0c01cd0b.png) and real-world image (fan22.png) to construct one centripetal acceleration problem question.,"[""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\easy_graph\\graph_0c01cd0b.png"", ""E:\\G-Physolve\\G-Uphysic\\fastapi-gpt\\image_result\\fan22.png""]"
