id,lang,stage,prompt_type,inquiry,reference,context
PR-EN-001-ze,en,problem_finding,zero_shot,Can you identify an item in your surroundings that might be experiencing centripetal acceleration?,"[""What are some everyday items that move in a circular path and therefore experience centripetal acceleration?"", ""Can you identify a situation where something changes its speed but not its direction, and how does this relate to centripetal acceleration?"", ""Can you find an example of something that changes its direction but not its speed, and how does this demonstrate centripetal acceleration?"", ""What are some examples of things that rotate or revolve, and how does this relate to centripetal acceleration?"", ""Can you think of a scenario where something is moving in a curved path, and how does this illustrate centripetal acceleration?""]",Classroom with a ceiling fan
PR-EN-002-fe,en,problem_finding,few_shot,Can you identify something in your environment that spins or rotates?,"[""What are some everyday items that move in a circular path and therefore experience centripetal acceleration?"", ""Can you identify a situation where something changes its speed but not its direction, and how does this relate to centripetal acceleration?"", ""Can you find an example of something that changes its direction but not its speed, and how does this demonstrate centripetal acceleration?"", ""What are some examples of things that rotate or revolve, and how does this relate to centripetal acceleration?"", ""Can you think of a scenario where something is moving in a curved path, and how does this illustrate centripetal acceleration?""]",Classroom with a ceiling fan
PR-EN-003-co,en,problem_finding,cot,Can you identify an item in your surroundings that might demonstrate the principles of centripetal acceleration?,"[""What are some everyday items that move in a circular path and therefore experience centripetal acceleration?"", ""Can you identify a situation where something changes its speed but not its direction, and how does this relate to centripetal acceleration?"", ""Can you find an example of something that changes its direction but not its speed, and how does this demonstrate centripetal acceleration?"", ""What are some examples of things that rotate or revolve, and how does this relate to centripetal acceleration?"", ""Can you think of a scenario where something is moving in a curved path, and how does this illustrate centripetal acceleration?""]",Classroom with a ceiling fan
PR-EN-004-dr,en,problem_finding,draft_critique_revise,Can you identify an object in your surroundings that moves in a circular path?,"[""What are some everyday items that move in a circular path and therefore experience centripetal acceleration?"", ""Can you identify a situation where something changes its speed but not its direction, and how does this relate to centripetal acceleration?"", ""Can you find an example of something that changes its direction but not its speed, and how does this demonstrate centripetal acceleration?"", ""What are some examples of things that rotate or revolve, and how does this relate to centripetal acceleration?"", ""Can you think of a scenario where something is moving in a curved path, and how does this illustrate centripetal acceleration?""]",Classroom with a ceiling fan
PR-EN-005-ze,en,problem_finding,zero_shot,Can you identify an object in your environment that is undergoing circular motion?,"[""What are some everyday items that move in a circular path and therefore experience centripetal acceleration?"", ""Can you identify a situation where something changes its speed but not its direction, and how does this relate to centripetal acceleration?"", ""Can you find an example of something that changes its direction but not its speed, and how does this demonstrate centripetal acceleration?"", ""What are some examples of things that rotate or revolve, and how does this relate to centripetal acceleration?"", ""Can you think of a scenario where something is moving in a curved path, and how does this illustrate centripetal acceleration?""]",Bicycle wheel spinning outside
PR-EN-006-fe,en,problem_finding,few_shot,Can you identify something in your surroundings that spins or rotates?,"[""What are some everyday items that move in a circular path and therefore experience centripetal acceleration?"", ""Can you identify a situation where something changes its speed but not its direction, and how does this relate to centripetal acceleration?"", ""Can you find an example of something that changes its direction but not its speed, and how does this demonstrate centripetal acceleration?"", ""What are some examples of things that rotate or revolve, and how does this relate to centripetal acceleration?"", ""Can you think of a scenario where something is moving in a curved path, and how does this illustrate centripetal acceleration?""]",Bicycle wheel spinning outside
PR-EN-007-co,en,problem_finding,cot,Can you identify an object in your surroundings that demonstrates the principles of centripetal acceleration?,"[""What are some everyday items that move in a circular path and therefore experience centripetal acceleration?"", ""Can you identify a situation where something changes its speed but not its direction, and how does this relate to centripetal acceleration?"", ""Can you find an example of something that changes its direction but not its speed, and how does this demonstrate centripetal acceleration?"", ""What are some examples of things that rotate or revolve, and how does this relate to centripetal acceleration?"", ""Can you think of a scenario where something is moving in a curved path, and how does this illustrate centripetal acceleration?""]",Bicycle wheel spinning outside
PR-EN-008-dr,en,problem_finding,draft_critique_revise,Can you identify an object in your environment that is moving in a circular path?,"[""What are some everyday items that move in a circular path and therefore experience centripetal acceleration?"", ""Can you identify a situation where something changes its speed but not its direction, and how does this relate to centripetal acceleration?"", ""Can you find an example of something that changes its direction but not its speed, and how does this demonstrate centripetal acceleration?"", ""What are some examples of things that rotate or revolve, and how does this relate to centripetal acceleration?"", ""Can you think of a scenario where something is moving in a curved path, and how does this illustrate centripetal acceleration?""]",Bicycle wheel spinning outside
PR-EN-009-ze,en,problem_exploring,zero_shot,How does the concept of centripetal acceleration apply to the rotation of fan blades?,"[""What factors influence the magnitude of centripetal acceleration?"", ""How does changing the radius of a circular path affect the centripetal acceleration?"", ""How does the speed of an object moving in a circular path impact the centripetal acceleration?"", ""Can you design an experiment to measure the centripetal acceleration of an object?"", ""How does centripetal acceleration apply to real-world scenarios such as roller coasters or planetary orbits?""]",Rotating fan blades
PR-EN-010-fe,en,problem_exploring,few_shot,What can you observe about the speed and force required to keep the fan blades in circular motion?,"[""What factors influence the magnitude of centripetal acceleration?"", ""How does changing the radius of a circular path affect the centripetal acceleration?"", ""How does the speed of an object moving in a circular path impact the centripetal acceleration?"", ""Can you design an experiment to measure the centripetal acceleration of an object?"", ""How does centripetal acceleration apply to real-world scenarios such as roller coasters or planetary orbits?""]",Rotating fan blades
