id,lang,stage,difficulty,prompt_type,bleu1,bleu4,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,geval_overall
PR-EN-001-fe,en,problem_finding,,few_shot,42.74968157481276,8.350331161537673,0.4848484848484849,0.3225806451612903,0.4848484848484849,0.9225797057151794,0.8904560208320618,0.9048674702644348,4.8
PR-EN-002-fe,en,problem_finding,,few_shot,41.79765978347104,8.262013232705506,0.5,0.3333333333333333,0.5,0.9151390790939331,0.8881299495697021,0.9014322757720947,4
PR-EN-003-fe,en,problem_finding,,few_shot,42.74968157481276,8.350331161537673,0.4848484848484849,0.3225806451612903,0.4848484848484849,0.9225797057151794,0.8904560208320618,0.9048674702644348,4.2
PR-EN-004-fe,en,problem_finding,,few_shot,42.74968157481276,8.350331161537673,0.4848484848484849,0.3225806451612903,0.4848484848484849,0.9225797057151794,0.8904560208320618,0.9048674702644348,4.6
PR-EN-005-fe,en,problem_finding,,few_shot,42.74968157481276,8.350331161537673,0.4848484848484849,0.3225806451612903,0.4848484848484849,0.9225797057151794,0.8904560208320618,0.9048674702644348,4.2
PR-EN-006-fe,en,problem_exploring,,few_shot,60.0,7.459322248533421,0.45,0.10526315789473684,0.27027027027027023,0.904329240322113,0.9080063104629517,0.9061640501022339,5
PR-EN-007-fe,en,problem_exploring,,few_shot,41.099321498089566,3.3424155834082403,0.30303030303030304,0.06451612903225808,0.2777777777777778,0.8996863961219788,0.8966379761695862,0.8981596231460571,5
PR-EN-008-fe,en,problem_exploring,,few_shot,55.00000000000001,7.843084848545956,0.3902439024390244,0.15384615384615385,0.3414634146341463,0.8961360454559326,0.886347770690918,0.8912150263786316,4.8
PR-EN-009-fe,en,problem_exploring,,few_shot,33.92960679653928,3.1789186946706773,0.30303030303030304,0.07142857142857144,0.24242424242424246,0.8856506943702698,0.8935427665710449,0.8895792365074158,4
PR-EN-010-fe,en,problem_exploring,,few_shot,29.356658212921115,1.727939125990154,0.22222222222222224,0.0,0.16666666666666663,0.8797541856765747,0.8665841817855835,0.8728638887405396,5
PR-EN-011-fe,en,problem_generating,easy,few_shot,41.66666666666667,11.755743200908036,0.4285714285714286,0.15384615384615385,0.3283582089552239,0.8884839415550232,0.9189655780792236,0.9034677147865295,3
PR-EN-012-fe,en,problem_generating,easy,few_shot,36.34624629286291,9.95378772012718,0.43076923076923074,0.09999999999999999,0.2769230769230769,0.8837724328041077,0.9094645977020264,0.896434485912323,4.6
PR-EN-013-fe,en,problem_generating,easy,few_shot,43.333333333333336,4.934644714649251,0.4375,0.10169491525423728,0.28125,0.8964629173278809,0.916358232498169,0.9063013792037964,3.4
PR-EN-014-fe,en,problem_generating,easy,few_shot,34.090909090909086,8.237287895620476,0.379746835443038,0.13513513513513511,0.2631578947368421,0.8786957263946533,0.9100311398506165,0.8940889835357666,5
PR-EN-015-fe,en,problem_generating,easy,few_shot,41.46341463414634,17.02097872722284,0.45333333333333325,0.22857142857142854,0.3333333333333333,0.8847737908363342,0.9179732799530029,0.901067852973938,4
PR-EN-016-fe,en,problem_generating,intermediate,few_shot,26.82926829268293,1.7345333612331648,0.32876712328767116,0.1408450704225352,0.2465753424657534,0.8720425367355347,0.8996874094009399,0.8856492638587952,5
PR-EN-017-fe,en,problem_generating,intermediate,few_shot,28.888888888888886,1.9527880188733966,0.36363636363636365,0.18666666666666665,0.33766233766233766,0.8693556785583496,0.9159698486328125,0.8920542001724243,5
PR-EN-018-fe,en,problem_generating,intermediate,few_shot,26.53061224489796,7.11070376828321,0.32941176470588235,0.14457831325301204,0.2823529411764706,0.8415567278862,0.9033931493759155,0.8713793158531189,5
PR-EN-019-fe,en,problem_generating,intermediate,few_shot,33.33333333333333,13.333925991778328,0.3880597014925373,0.2153846153846154,0.3582089552238806,0.8815078735351562,0.9047772884368896,0.8929910659790039,5
PR-EN-020-fe,en,problem_generating,intermediate,few_shot,26.53061224489796,3.3624442114805553,0.35443037974683544,0.15584415584415587,0.2337662337662338,0.8581296801567078,0.8947579264640808,0.8744293451309204,5
PR-EN-021-fe,en,problem_generating,advanced,few_shot,33.33333333333333,1.79680137585523,0.3146067415730337,0.06896551724137931,0.2247191011235955,0.8637632727622986,0.8683599829673767,0.8660555481910706,3.4
PR-EN-022-fe,en,problem_generating,advanced,few_shot,32.48949712360507,1.8568185832040598,0.3333333333333333,0.05063291139240506,0.21428571428571427,0.8702470064163208,0.8668295741081238,0.8685349822044373,4
PR-EN-023-fe,en,problem_generating,advanced,few_shot,26.666666666666668,1.6095596506318655,0.26666666666666666,0.09411764705882353,0.17777777777777778,0.8587853908538818,0.8746564984321594,0.8666483163833618,4
PR-EN-024-fe,en,problem_generating,advanced,few_shot,35.54651077283608,0.8183161017445373,0.3255813953488372,0.024691358024691357,0.20930232558139536,0.8582260012626648,0.8619371056556702,0.8594597578048706,4.2
PR-EN-025-fe,en,problem_generating,advanced,few_shot,30.18867924528302,1.460772707779318,0.33663366336633666,0.07692307692307693,0.20754716981132076,0.8625800609588623,0.8664341568946838,0.8645028471946716,5
